timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729388837,53734,Login,500,,Spike Test  4-89,text,false,Status code should be 200,1185,1170,43,166,http://localhost:8081/,23706,0,0
1697729388837,23706,Login-0,302,,Spike Test  4-89,,true,,412,730,43,166,http://localhost:8081/authenticate,23706,0,0
1697729412542,30029,Login-1,500,,Spike Test  4-89,text,false,,773,440,43,166,http://localhost:8081/,30029,0,0
1697729412448,30201,Register Random User,500,,Stress Test  1-14,text,false,Status code should be 200,773,677,95,165,http://localhost:8081/api/users/,30200,0,2
1697729412638,30042,Login,200,,Stress Test  1-27,text,false,"Responce body as text should contain ""LOGOUT""",11118,1157,95,165,http://localhost:8081/login?error,30035,0,0
1697729412638,30035,Login-0,302,,Stress Test  1-27,,true,,423,706,95,165,http://localhost:8081/authenticate,30035,0,0
1697729442674,6,Login-1,200,,Stress Test  1-27,text,true,,10695,451,95,165,http://localhost:8081/login?error,6,0,0
1697729442680,12,Create Post,500,,Stress Test  1-27,text,false,Status code should be 200,656,581,95,165,http://localhost:8081/api/post/auth/creator,10,0,0
1697729442695,11,Delete Post,400,,Stress Test  1-27,text,false,Status code should be 200,800,597,95,165,http://localhost:8081/api/post/auth/manager?postId=,11,0,1
1697729412776,30188,Register Random User,500,,Stress Test  1-41,text,false,Status code should be 200,773,677,95,166,http://localhost:8081/api/users/,30188,0,2
1697729412812,30199,Register Random User,500,,Spike Test  4-105,text,false,Status code should be 200,773,677,43,166,http://localhost:8081/api/users/,30198,0,3
1697729412968,30184,Register Random User,500,,Stress Test  1-39,text,false,Status code should be 200,773,677,95,165,http://localhost:8081/api/users/,30184,0,2
1697729413236,30185,Register Random User,500,,Stress Test  1-37,text,false,Status code should be 200,773,677,95,165,http://localhost:8081/api/users/,30185,0,2
1697729413506,30187,Register Random User,500,,Load Test  2-11,text,false,Status code should be 200,773,677,18,166,http://localhost:8081/api/users/,30187,0,2
1697729413563,30193,Register Random User,500,,Spike Test  4-104,text,false,Status code should be 200,773,677,43,165,http://localhost:8081/api/users/,30192,0,1
1697729413835,30187,Register Random User,500,,Load Test  2-16,text,false,Status code should be 200,773,677,17,164,http://localhost:8081/api/users/,30187,0,2
1697729414110,30024,Create Post,500,,Load Test  2-4,text,false,Status code should be 200,773,581,16,163,http://localhost:8081/api/post/auth/creator,30024,0,2
1697729444135,10,Delete Post,400,,Load Test  2-4,text,false,Status code should be 200,800,601,16,163,http://localhost:8081/api/post/auth/manager?postId=,9,0,2
1697729389287,54983,Create Post,200,,Spike Test  4-5,text,true,,561,581,42,163,http://localhost:8081/api/post/auth/creator,54982,0,1
1697729414311,30185,Register Random User,500,,Spike Test  4-103,text,false,Status code should be 200,773,677,43,164,http://localhost:8081/api/users/,30185,0,2
1697729414247,30279,Register Random User,409,,Stress Test  1-13,text,false,Status code should be 200,689,677,95,163,http://localhost:8081/api/users/,30279,0,2
1697729415212,29645,Register Random User,409,,Stress Test  1-68,text,false,Status code should be 200,689,677,95,163,http://localhost:8081/api/users/,29645,0,1
1697729415062,30176,Register Random User,500,,Spike Test  4-102,text,false,Status code should be 200,773,677,43,163,http://localhost:8081/api/users/,30176,0,1
1697729415642,30035,Login,200,,Stress Test  1-29,text,false,"Responce body as text should contain ""LOGOUT""",11118,1157,94,162,http://localhost:8081/login?error,30029,0,2
1697729415642,30029,Login-0,302,,Stress Test  1-29,,true,,423,706,94,162,http://localhost:8081/authenticate,30029,0,2
1697729445671,6,Login-1,200,,Stress Test  1-29,text,true,,10695,451,94,162,http://localhost:8081/login?error,6,0,0
1697729445678,10,Create Post,500,,Stress Test  1-29,text,false,Status code should be 200,656,581,94,162,http://localhost:8081/api/post/auth/creator,10,0,0
1697729445689,12,Delete Post,400,,Stress Test  1-29,text,false,Status code should be 200,800,589,94,162,http://localhost:8081/api/post/auth/manager?postId=,12,0,2
1697729415770,30017,Create Post,500,,Stress Test  1-87,text,false,Status code should be 200,773,581,94,162,http://localhost:8081/api/post/auth/creator,30017,0,1
1697729415847,30019,Create Post,500,,Endurance Test  3-10,text,false,Status code should be 200,773,581,10,162,http://localhost:8081/api/post/auth/creator,30019,0,2
1697729445868,9,Delete Post,400,,Endurance Test  3-10,text,false,Status code should be 200,800,587,10,162,http://localhost:8081/api/post/auth/manager?postId=,8,0,1
1697729415812,30187,Register Random User,500,,Spike Test  4-101,text,false,Status code should be 200,773,677,43,162,http://localhost:8081/api/users/,30186,0,1
1697729416048,30215,Register Random User,500,,Stress Test  1-12,text,false,Status code should be 200,773,677,93,161,http://localhost:8081/api/users/,30215,0,2
1697729416165,30194,Register Random User,500,,Stress Test  1-33,text,false,Status code should be 200,773,677,93,161,http://localhost:8081/api/users/,30194,0,1
1697729416341,30018,Create Post,500,,Stress Test  1-73,text,false,Status code should be 200,773,581,93,161,http://localhost:8081/api/post/auth/creator,30018,0,2
1697729416498,30049,Login,200,,Spike Test  4-83,text,false,"Responce body as text should contain ""LOGOUT""",11118,1185,42,160,http://localhost:8081/login?error,30042,0,2
1697729416498,30042,Login-0,302,,Spike Test  4-83,,true,,423,734,42,160,http://localhost:8081/authenticate,30042,0,2
1697729446541,6,Login-1,200,,Spike Test  4-83,text,true,,10695,451,42,160,http://localhost:8081/login?error,6,0,0
1697729416563,30207,Register Random User,500,,Spike Test  4-100,text,false,Status code should be 200,773,677,42,160,http://localhost:8081/api/users/,30207,0,1
1697729416777,30182,Register Random User,500,,Stress Test  1-78,text,false,Status code should be 200,773,677,92,159,http://localhost:8081/api/users/,30182,0,2
1697729416953,30024,Create Post,500,,Spike Test  4-10,text,false,Status code should be 200,773,581,41,158,http://localhost:8081/api/post/auth/creator,30024,0,2
1697729446978,12,Delete Post,400,,Spike Test  4-10,text,false,Status code should be 200,800,591,41,158,http://localhost:8081/api/post/auth/manager?postId=,12,0,2
1697729417312,30169,Register Random User,500,,Spike Test  4-99,text,false,Status code should be 200,773,677,42,159,http://localhost:8081/api/users/,30169,0,1
1697729417504,30039,Login,200,,Spike Test  4-82,text,false,"Responce body as text should contain ""LOGOUT""",11118,1189,41,158,http://localhost:8081/login?error,30032,0,2
1697729417504,30032,Login-0,302,,Spike Test  4-82,,true,,423,738,41,158,http://localhost:8081/authenticate,30032,0,2
1697729447537,6,Login-1,200,,Spike Test  4-82,text,true,,10695,451,41,158,http://localhost:8081/login?error,6,0,0
1697729417847,30171,Register Random User,500,,Stress Test  1-11,text,false,Status code should be 200,773,677,91,157,http://localhost:8081/api/users/,30170,0,2
1697729418062,30178,Register Random User,500,,Spike Test  4-98,text,false,Status code should be 200,773,677,41,158,http://localhost:8081/api/users/,30178,0,2
1697729418260,30042,Login,200,,Load Test  2-5,text,false,"Responce body as text should contain ""LOGOUT""",11118,1197,16,157,http://localhost:8081/login?error,30035,0,2
